,precision,recall,f1-score,support
apple leaf,0.10714285714285714,0.45,0.17307692307692307,20.0
apple rust leaf,0.0,0.0,0.0,32.0
apple scab leaf,0.0,0.0,0.0,32.0
bell pepper leaf,0.0,0.0,0.0,8.0
bell pepper leaf spot,0.0,0.0,0.0,9.0
blueberry leaf,0.0,0.0,0.0,11.0
cherry leaf,0.0,0.0,0.0,10.0
corn gray leaf spot,0.0,0.0,0.0,15.0
corn leaf,0.07575757575757576,0.45454545454545453,0.12987012987012986,11.0
corn leaf blight,0.0,0.0,0.0,23.0
corn rust leaf,0.17647058823529413,0.14285714285714285,0.15789473684210525,21.0
grape leaf,0.0,0.0,0.0,12.0
grape leaf black rot,0.0,0.0,0.0,8.0
peach leaf,0.0,0.0,0.0,9.0
potato leaf blight,0.08,0.18181818181818182,0.1111111111111111,11.0
potato leaf early blight,0.0,0.0,0.0,8.0
potato leaf late blight,0.0,0.0,0.0,8.0
potato leafroll virus,0.0,0.0,0.0,11.0
raspberry leaf,0.0,0.0,0.0,7.0
soyabean leaf,0.0,0.0,0.0,8.0
squash powdery mildew leaf,0.05357142857142857,0.5,0.0967741935483871,6.0
strawberry leaf,0.0,0.0,0.0,8.0
tomato leaf,0.0,0.0,0.0,19.0
tomato leaf bacterial spot,0.0,0.0,0.0,20.0
tomato leaf early blight,0.0,0.0,0.0,20.0
tomato leaf late blight,0.0,0.0,0.0,21.0
tomato leaf mosaic virus,0.03529411764705882,0.3,0.06315789473684211,10.0
tomato leaf powdery mildew,0.0,0.0,0.0,11.0
tomato leaf yellow virus,0.125,0.16666666666666666,0.14285714285714285,6.0
tomato mold leaf,0.0,0.0,0.0,17.0
tomato septoria leaf spot,0.16,0.18181818181818182,0.1702127659574468,22.0
accuracy,0.06912442396313365,0.06912442396313365,0.06912442396313365,0.06912442396313365
macro avg,0.026233437656587564,0.0767001815388912,0.033708222516131876,434.0
weighted avg,0.028816687965508785,0.06912442396313365,0.0351202059974234,434.0
