,precision,recall,f1-score,support
Apple Leaf,0.42857142857142855,0.45,0.43902439024390244,20.0
Apple Rust Leaf,0.1826086956521739,0.65625,0.2857142857142857,32.0
Apple Scab leaf,0.0,0.0,0.0,32.0
Corn Gray Leaf Spot,0.0,0.0,0.0,15.0
Corn Leaf,0.1956521739130435,0.8181818181818182,0.3157894736842105,11.0
Corn Leaf Blight,0.0,0.0,0.0,23.0
Corn Rust Leaf,0.0,0.0,0.0,21.0
Potato Leaf Blight,0.0,0.0,0.0,27.0
Potato Leafroll Virus,0.0,0.0,0.0,11.0
Tomato Leaf,0.0,0.0,0.0,19.0
Tomato Leaf Bacterial Spot,0.0,0.0,0.0,20.0
Tomato Leaf Early Blight,0.0,0.0,0.0,20.0
Tomato Leaf Late Blight,0.0,0.0,0.0,21.0
Tomato Leaf Powdery Mildew,0.09090909090909091,0.09090909090909091,0.09090909090909091,11.0
Tomato Mold Leaf,0.0,0.0,0.0,17.0
Tomato Septoria Leaf Spot,0.08943089430894309,0.5,0.15172413793103448,22.0
accuracy,0.15838509316770186,0.15838509316770186,0.15838509316770186,0.15838509316770186
macro avg,0.06169826770966749,0.15720880681818183,0.08019758615515776,322.0
weighted avg,0.06066633670850423,0.15838509316770186,0.0799222366234294,322.0
